time,x,r,x_r,u_r,a_s
5.38,2.15801,0,2.15801,3,-1
5.39,2.16643,0,2.16643,3,-1
5.4,2.17477,0,2.17477,3,-1
5.41,2.18302,0,2.18302,3,-1
5.42,2.19119,0,2.19119,3,-1
5.43,2.19928,0,2.19928,3,-1
5.44,2.20728,0,2.20728,3,-1
5.45,2.21521,0,2.21521,3,-1
5.46,2.22306,0,2.22306,3,-1
5.47,2.23083,0,2.23083,3,-1
5.48,2.23852,0,2.23852,3,-1
5.49,2.23614,0,2.23614,2,-1
5.5,2.23377,0,2.23377,2,-1
5.51,2.23144,0,2.23144,2,-1
5.52,2.22912,0,2.22912,2,-1
5.53,2.22683,0,2.22683,2,-1
5.54,2.22456,0,2.22456,2,-1
5.55,2.22232,0,2.22232,2,-1
5.56,2.22009,0,2.22009,2,-1
5.57,2.21789,0,2.21789,2,-1
5.58,2.21571,0,2.21571,2,-1
5.59,2.21356,0,2.21356,2,-1
5.6,2.20142,0,2.20142,1,-1
5.61,2.18941,0,2.18941,1,-1
5.62,2.17751,0,2.17751,1,-1
5.63,2.16574,0,2.16574,1,-1
5.64,2.15408,0,2.15408,1,-1
5.65,2.14254,0,2.14254,1,-1
5.66,2.13111,0,2.13111,1,-1
5.67,2.1198,0,2.1198,1,-1
5.68,2.1086,0,2.1086,1,-1
5.69,2.09752,0,2.09752,1,-1
5.7,2.08654,0,2.08654,1,-1
5.71,2.06568,0,2.06568,0,-1
5.72,2.04502,0,2.04502,0,-1
5.73,2.02457,0,2.02457,0,-1
5.74,2.00433,0,2.00433,0,-1
5.75,1.98428,0,1.98428,0,-1
5.76,1.96444,0,1.96444,0,1
5.77,1.9448,0,1.9448,0,1
5.78,1.92535,0,1.92535,0,1
5.79,1.90609,0,1.90609,0,1
5.8,1.88703,0,1.88703,0,1
5.81,1.86816,0,1.86816,0,1
5.82,1.85948,0,1.85948,1,1
5.83,1.85089,0,1.85089,1,1
5.84,1.84238,0,1.84238,1,1
5.85,1.83395,0,1.83395,1,1
5.86,1.82561,0,1.82561,1,1
5.87,1.81736,0,1.81736,1,1
5.88,1.80918,0,1.80918,1,1
5.89,1.80109,0,1.80109,1,1
5.9,1.79308,0,1.79308,1,1
5.91,1.78515,0,1.78515,1,1
5.92,1.7773,0,1.7773,1,1
5.93,1.77953,0,1.77953,2,1
5.94,1.78173,0,1.78173,2,1
5.95,1.78391,0,1.78391,2,1
5.96,1.78607,0,1.78607,2,1
5.97,1.78821,0,1.78821,2,1
5.98,1.79033,0,1.79033,2,1
5.99,1.79243,0,1.79243,2,1
6,1.7945,0,1.7945,2,1
6.01,1.79656,0,1.79656,2,1
6.02,1.79859,0,1.79859,2,1
6.03,1.80061,0,1.80061,2,1
6.04,1.8126,0,1.8126,3,1
6.05,1.82448,0,1.82448,3,1
6.06,1.83623,0,1.83623,3,1
6.07,1.84787,0,1.84787,3,1
6.08,1.85939,0,1.85939,3,1
6.09,1.8708,0,1.8708,3,1
6.1,1.88209,0,1.88209,3,1
6.11,1.89327,0,1.89327,3,1
6.12,1.90433,0,1.90433,3,1
6.13,1.91529,0,1.91529,3,1
6.14,1.92614,0,1.92614,3,1
6.15,1.94688,0,1.94688,4,1
6.16,1.96741,0,1.96741,4,1
6.17,1.98773,0,1.98773,4,1
6.18,2.00786,0,2.00786,4,1
6.19,2.02778,0,2.02778,4,-1
6.2,2.0475,0,2.0475,4,-1
6.21,2.06702,0,2.06702,4,-1
6.22,2.08635,0,2.08635,4,-1
6.23,2.10549,0,2.10549,4,-1
6.24,2.12444,0,2.12444,4,-1
6.25,2.14319,0,2.14319,4,-1
6.26,2.15176,0,2.15176,3,-1
6.27,2.16024,0,2.16024,3,-1
6.28,2.16864,0,2.16864,3,-1
6.29,2.17695,0,2.17695,3,-1
6.3,2.18518,0,2.18518,3,-1
6.31,2.19333,0,2.19333,3,-1
6.32,2.2014,0,2.2014,3,-1
6.33,2.20938,0,2.20938,3,-1
6.34,2.21729,0,2.21729,3,-1
6.35,2.22512,0,2.22512,3,-1
6.36,2.23287,0,2.23287,3,-1
6.37,2.23054,0,2.23054,2,-1
6.38,2.22823,0,2.22823,2,-1
6.39,2.22595,0,2.22595,2,-1
6.4,2.22369,0,2.22369,2,-1
6.41,2.22145,0,2.22145,2,-1
6.42,2.21924,0,2.21924,2,-1
6.43,2.21705,0,2.21705,2,-1
6.44,2.21488,0,2.21488,2,-1
6.45,2.21273,0,2.21273,2,-1
6.46,2.2106,0,2.2106,2,-1
6.47,2.20849,0,2.20849,2,-1
6.48,2.19641,0,2.19641,1,-1
6.49,2.18445,0,2.18445,1,-1
6.5,2.1726,0,2.1726,1,-1
6.51,2.16088,0,2.16088,1,-1
6.52,2.14927,0,2.14927,1,-1
6.53,2.13777,0,2.13777,1,-1
6.54,2.1264,0,2.1264,1,-1
6.55,2.11513,0,2.11513,1,-1
6.56,2.10398,0,2.10398,1,-1
6.57,2.09294,0,2.09294,1,-1
6.58,2.08201,0,2.08201,1,-1
6.59,2.06119,0,2.06119,0,-1
6.6,2.04058,0,2.04058,0,-1
6.61,2.02017,0,2.02017,0,-1
6.62,1.99997,0,1.99997,0,-1
6.63,1.97997,0,1.97997,0,1
6.64,1.96017,0,1.96017,0,1
6.65,1.94057,0,1.94057,0,1
6.66,1.92117,0,1.92117,0,1
6.67,1.90195,0,1.90195,0,1
6.68,1.88293,0,1.88293,0,1
6.69,1.8641,0,1.8641,0,1
6.7,1.85546,0,1.85546,1,1
6.71,1.84691,0,1.84691,1,1
6.72,1.83844,0,1.83844,1,1
6.73,1.83006,0,1.83006,1,1
6.74,1.82175,0,1.82175,1,1
6.75,1.81354,0,1.81354,1,1
6.76,1.8054,0,1.8054,1,1
6.77,1.79735,0,1.79735,1,1
6.78,1.78937,0,1.78937,1,1
6.79,1.78148,0,1.78148,1,1
